cycle: 63; nbPreys: 23; minEnergyPreys: 0.025098039215685534; maxSizePreys: 0.8699999999999992; nbPredators: 23; minEnergyPredators: 0.033333333333333284; maxSizePredators: 1.0
cycle: 64; nbPreys: 21; minEnergyPreys: 0.013333333333332559; maxSizePreys: 0.8623529411764692; nbPredators: 23; minEnergyPredators: 0.013333333333333284; maxSizePredators: 1.0
cycle: 65; nbPreys: 20; minEnergyPreys: 0.0035294117647050663; maxSizePreys: 0.9123529411764691; nbPredators: 21; minEnergyPredators: 0.2399999999999998; maxSizePredators: 1.0
cycle: 66; nbPreys: 22; minEnergyPreys: 0.05352941176470507; maxSizePreys: 0.9623529411764691; nbPredators: 21; minEnergyPredators: 0.2199999999999998; maxSizePredators: 1.0
cycle: 67; nbPreys: 20; minEnergyPreys: 0.10352941176470506; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.19999999999999982; maxSizePredators: 1.0
cycle: 68; nbPreys: 19; minEnergyPreys: 0.15352941176470508; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.17999999999999983; maxSizePredators: 1.0
cycle: 69; nbPreys: 16; minEnergyPreys: 0.20352941176470507; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.15999999999999984; maxSizePredators: 1.0
cycle: 70; nbPreys: 15; minEnergyPreys: 0.2535294117647051; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.13999999999999985; maxSizePredators: 1.0
cycle: 71; nbPreys: 15; minEnergyPreys: 0.29901960784313714; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.11999999999999984; maxSizePredators: 1.0
cycle: 72; nbPreys: 13; minEnergyPreys: 0.32137254901960777; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.09999999999999984; maxSizePredators: 1.0
cycle: 73; nbPreys: 12; minEnergyPreys: 0.3678431372549019; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.07999999999999984; maxSizePredators: 1.0
cycle: 74; nbPreys: 12; minEnergyPreys: 0.41431372549019607; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.05999999999999983; maxSizePredators: 0.98
cycle: 75; nbPreys: 12; minEnergyPreys: 0.4607843137254902; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.03999999999999983; maxSizePredators: 0.96
cycle: 76; nbPreys: 12; minEnergyPreys: 0.45294117647058824; maxSizePreys: 1.0; nbPredators: 24; minEnergyPredators: 0.019999999999999827; maxSizePredators: 0.94
cycle: 77; nbPreys: 12; minEnergyPreys: 0.4480392156862745; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.08666666666666664; maxSizePredators: 0.9199999999999999
cycle: 78; nbPreys: 12; minEnergyPreys: 0.4411764705882352; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.06666666666666664; maxSizePredators: 0.8999999999999999
cycle: 79; nbPreys: 14; minEnergyPreys: 0.4439215686274509; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.046666666666666634; maxSizePredators: 0.8799999999999999
cycle: 80; nbPreys: 14; minEnergyPreys: 0.48235294117647054; maxSizePreys: 1.0; nbPredators: 21; minEnergyPredators: 0.026666666666666634; maxSizePredators: 0.8599999999999999
